date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2025-12-31T06:20:00+08:00,51.50,0,0,0,0,0,Manual
2025-12-31T04:10:00+08:00,52.60,0,0,0,0,0,Manual
2025-12-30T05:50:00+08:00,53.15,0,0,0,0,0,Manual
2025-12-29T05:50:00+08:00,53.60,0,0,0,0,0,Manual
2025-12-28T09:30:00+08:00,53.65,0,0,0,0,0,Manual
2025-12-27T09:30:00+08:00,53.50,0,0,0,0,0,Manual
2025-12-26T09:30:00+08:00,52.95,0,0,0,0,0,Manual
2025-12-25T06:50:00+08:00,52.25,0,0,0,0,0,Manual
2025-12-25T05:50:00+08:00,52.75,0,0,0,0,0,Manual
2025-12-24T05:50:00+08:00,52.25,0,0,0,0,0,Manual
2025-12-23T05:50:00+08:00,53.25,0,0,0,0,0,Manual
2025-12-22T05:50:00+08:00,53.35,0,0,0,0,0,Manual
2025-12-21T10:00:00+08:00,53.05,0,0,0,0,0,Manual
2025-12-20T09:00:00+08:00,53.35,0,0,0,0,0,Manual
2025-12-19T05:50:00+08:00,53.55,0,0,0,0,0,Manual
2025-12-18T05:50:00+08:00,53.40,0,0,0,0,0,Manual
2025-12-17T05:50:00+08:00,53.25,0,0,0,0,0,Manual
2025-12-16T05:40:00+08:00,53.60,0,0,0,0,0,Manual
2025-12-15T05:40:00+08:00,53.60,0,0,0,0,0,Manual
2025-12-14T09:40:00+08:00,52.30,0,0,0,0,0,Manual
2025-12-13T07:40:00+08:00,52.40,0,0,0,0,0,Manual
2025-12-12T07:40:00+08:00,52.20,0,0,0,0,0,Manual
2025-12-11T05:40:00+09:00,52.90,0,0,0,0,0,Manual
2025-12-10T05:40:00+09:00,53.15,0,0,0,0,0,Manual
2025-12-09T05:40:00+09:00,52.85,0,0,0,0,0,Manual
2025-12-08T05:40:00+09:00,53.60,0,0,0,0,0,Manual
2025-12-07T09:20:00+09:00,52.90,0,0,0,0,0,Manual
2025-12-06T07:30:00+09:00,53.50,0,0,0,0,0,Manual
2025-12-05T05:40:00+08:00,52.80,0,0,0,0,0,Manual
2025-12-04T06:20:00+09:00,52.35,0,0,0,0,0,Manual
2025-12-04T03:40:00+09:00,52.95,0,0,0,0,0,Manual
2025-12-03T05:50:00+09:00,53.15,0,0,0,0,0,Manual
2025-12-02T05:50:00+09:00,53.15,0,0,0,0,0,Manual
2025-12-01T05:50:00+09:00,53.05,0,0,0,0,0,Manual
2025-11-30T05:50:00+09:00,52.05,0,0,0,0,0,Manual
2025-11-28T05:50:00+08:00,52.20,0,0,0,0,0,Manual
2025-11-27T05:50:00+08:00,52.05,0,0,0,0,0,Manual
2025-11-26T05:45:00+08:00,52.60,0,0,0,0,0,Manual
2025-11-25T05:45:00+08:00,52.65,0,0,0,0,0,Manual
2025-11-24T05:45:00+08:00,52.05,0,0,0,0,0,Manual
2025-11-23T02:15:00+08:00,52.25,0,0,0,0,0,Manual
2025-11-21T06:05:00+08:00,52.15,0,0,0,0,0,Manual
2025-11-20T05:45:00+08:00,51.95,0,0,0,0,0,Manual
2025-11-19T05:45:00+08:00,52.40,0,0,0,0,0,Manual
2025-11-18T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2025-11-17T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2025-11-16T09:30:00+08:00,52.55,0,0,0,0,0,Manual
2025-11-15T08:00:00+08:00,52.45,0,0,0,0,0,Manual
2025-11-13T05:45:00+08:00,52.85,0,0,0,0,0,Manual
2025-11-12T05:45:00+08:00,52.20,0,0,0,0,0,Manual
2025-11-11T05:45:00+08:00,53.05,0,0,0,0,0,Manual
2025-11-10T05:45:00+08:00,52.70,0,0,0,0,0,Manual
2025-11-09T08:45:00+08:00,51.75,0,0,0,0,0,Manual
2025-11-08T08:05:00+08:00,51.85,0,0,0,0,0,Manual
2025-11-07T05:45:00+08:00,52.05,0,0,0,0,0,Manual
2025-11-06T05:45:00+08:00,52.25,0,0,0,0,0,Manual
2025-11-05T05:55:00+08:00,52.25,0,0,0,0,0,Manual
2025-11-04T05:55:00+08:00,52.45,0,0,0,0,0,Manual
2025-11-03T07:00:00+08:00,52.10,0,0,0,0,0,Manual
2025-11-02T09:30:00+08:00,52.15,0,0,0,0,0,Manual
2025-11-01T07:00:00+08:00,52.60,0,0,0,0,0,Manual
2025-10-31T05:50:00+08:00,53.20,0,0,0,0,0,Manual
2025-10-30T05:50:00+08:00,53.30,0,0,0,0,0,Manual
2025-10-29T07:15:00+08:00,52.85,0,0,0,0,0,Manual
2025-10-29T06:10:00+08:00,53.60,0,0,0,0,0,Manual
2025-10-28T05:50:00+08:00,53.60,0,0,0,0,0,Manual
2025-10-27T05:50:00+08:00,53.40,0,0,0,0,0,Manual
2025-10-26T08:30:00+08:00,53.30,0,0,0,0,0,Manual
2025-10-25T04:30:00+08:00,52.80,0,0,0,0,0,Manual
2025-10-24T05:45:00+08:00,52.80,0,0,0,0,0,Manual
2025-10-23T05:45:00+08:00,52.95,0,0,0,0,0,Manual
2025-10-22T05:45:00+08:00,53.10,0,0,0,0,0,Manual
2025-10-21T05:45:00+08:00,53.65,0,0,0,0,0,Manual
2025-10-20T05:45:00+08:00,53.60,0,0,0,0,0,Manual
2025-10-19T09:30:00+08:00,52.90,0,0,0,0,0,Manual
2025-10-17T05:55:00+08:00,52.95,0,0,0,0,0,Manual
