date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2022-09-30T05:45:00+08:00,52.7,0,0,0,0,0,Manual from Garmin
2022-09-29T05:45:00+08:00,52.1,0,0,0,0,0,Manual from Garmin
2022-09-28T05:45:00+08:00,52.4,0,0,0,0,0,Manual from Garmin
2022-09-27T05:45:00+08:00,52.2,0,0,0,0,0,Manual from Garmin
2022-09-26T05:45:00+08:00,53,0,0,0,0,0,Manual from Garmin
2022-09-23T05:45:00+08:00,52.3,0,0,0,0,0,Manual from Garmin
2022-09-22T05:45:00+08:00,53,0,0,0,0,0,Manual from Garmin
2022-09-20T05:45:00+08:00,53.1,0,0,0,0,0,Manual from Garmin
2022-09-19T05:45:00+08:00,53.8,0,0,0,0,0,Manual from Garmin
2022-09-18T05:45:00+08:00,53.4,0,0,0,0,0,Manual from Garmin
2022-09-17T05:45:00+08:00,52.4,0,0,0,0,0,Manual from Garmin
2022-09-16T05:45:00+08:00,52.7,0,0,0,0,0,Manual from Garmin
2022-09-15T05:45:00+08:00,52.5,0,0,0,0,0,Manual from Garmin
2022-09-14T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-09-13T05:45:00+08:00,54,0,0,0,0,0,Manual from Garmin
2022-09-10T05:45:00+08:00,53.1,0,0,0,0,0,Manual from Garmin
2022-09-09T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-09-08T05:45:00+08:00,53.5,0,0,0,0,0,Manual from Garmin
2022-09-07T05:45:00+08:00,53.1,0,0,0,0,0,Manual from Garmin
2022-09-06T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-09-05T05:45:00+08:00,53.4,0,0,0,0,0,Manual from Garmin
2022-09-04T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-09-03T05:45:00+08:00,52.9,0,0,0,0,0,Manual from Garmin
2022-09-02T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-09-01T05:45:00+08:00,53,0,0,0,0,0,Manual from Garmin
2022-08-31T05:45:00+08:00,52.8,0,0,0,0,0,Manual from Garmin
2022-08-30T05:45:00+08:00,53.2,0,0,0,0,0,Manual from Garmin
2022-08-27T05:45:00+08:00,54.2,0,0,0,0,0,Manual from Garmin
2022-05-16T05:45:00+08:00,54.5,0,0,0,0,0,Manual from Garmin
2022-05-07T05:45:00+08:00,54.6,0,0,0,0,0,Manual from Garmin
2022-03-20T05:45:00+08:00,54.7,0,0,0,0,0,Manual from Garmin
2022-01-23T05:45:00+08:00,54.2,0,0,0,0,0,Manual from Garmin
2022-01-21T05:45:00+08:00,54.5,0,0,0,0,0,Manual from Garmin
2022-01-20T05:45:00+08:00,55.2,0,0,0,0,0,Manual from Garmin
2021-12-28T05:45:00+08:00,55.6,0,0,0,0,0,Manual from Garmin

