date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2024-02-09T05:45:00+08:00,52.15,0,0,0,0,0,Manual
2024-02-08T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2024-02-07T05:45:00+08:00,52.3,0,0,0,0,0,Manual
2024-02-06T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2024-02-04T05:45:00+08:00,51.8,0,0,0,0,0,Manual
2024-02-02T05:45:00+08:00,52.05,0,0,0,0,0,Manual
2024-02-01T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2024-01-31T05:45:00+08:00,52.1,0,0,0,0,0,Manual
2024-01-30T05:45:00+08:00,51.7,0,0,0,0,0,Manual
2024-01-29T05:45:00+08:00,52.35,0,0,0,0,0,Manual
2024-01-26T05:45:00+08:00,51.8,0,0,0,0,0,Manual
2024-01-25T05:45:00+08:00,52.25,0,0,0,0,0,Manual
2024-01-24T05:45:00+08:00,52.5,0,0,0,0,0,Manual
2024-01-23T05:45:00+08:00,52.8,0,0,0,0,0,Manual
2024-01-22T05:45:00+08:00,52.15,0,0,0,0,0,Manual
2024-01-20T05:45:00+08:00,52.1,0,0,0,0,0,Manual
2024-01-19T05:45:00+08:00,52.1,0,0,0,0,0,Manual
2024-01-18T05:45:00+08:00,51.85,0,0,0,0,0,Manual
2024-01-17T05:45:00+08:00,51.95,0,0,0,0,0,Manual
2024-01-16T05:45:00+08:00,52.35,0,0,0,0,0,Manual
2024-01-15T05:45:00+08:00,52.5,0,0,0,0,0,Manual
2024-01-14T05:45:00+08:00,52.0,0,0,0,0,0,Manual
2024-01-13T05:45:00+08:00,51.6,0,0,0,0,0,Manual
2024-01-12T05:45:00+08:00,51.8,0,0,0,0,0,Manual
2024-01-11T05:45:00+08:00,52.0,0,0,0,0,0,Manual
2024-01-10T05:45:00+08:00,51.85,0,0,0,0,0,Manual
2024-01-09T05:45:00+08:00,52.45,0,0,0,0,0,Manual
2024-01-08T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2024-01-07T05:45:00+08:00,52.55,0,0,0,0,0,Manual
2024-01-06T05:45:00+08:00,52.25,0,0,0,0,0,Manual
2024-01-05T05:45:00+08:00,52.45,0,0,0,0,0,Manual
2024-01-04T05:45:00+08:00,52.3,0,0,0,0,0,Manual
2024-01-03T05:45:00+08:00,52.7,0,0,0,0,0,Manual
2024-01-02T05:45:00+08:00,52.9,0,0,0,0,0,Manual
2024-01-01T05:45:00+08:00,52.05,0,0,0,0,0,Manual
